Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
32.86,61.11,38.13,Black,Sugarcane,25,0,18,DAP
35.95,56.17,51.09,Black,Wheat,9,10,12,20-20
38.15,76.07,50.5,Black,Wheat,41,0,4,Urea
27.97,61.87,53.56,Black,Maize,9,2,28,20-20
32.21,69.43,39.24,Red,Wheat,12,4,40,14-35-14
35.52,75.0,62.64,Black,Maize,16,0,34,DAP
27.25,57.18,56.38,Clayey,Maize,11,11,28,Urea
34.84,55.67,20.0,Black,Paddy,41,0,0,10-26-26
38.74,72.41,27.4,Red,Pulses,11,0,38,20-20
26.87,52.34,36.12,Black,Cotton,16,1,40,17-17-17
33.62,61.17,32.6,Clayey,Wheat,9,0,36,28-28
31.47,70.69,49.36,Black,Maize,10,0,37,17-17-17
20.18,49.8,27.78,Red,Maize,21,0,14,17-17-17
27.16,55.4,35.51,Loamy,Oil seeds,44,0,2,10-26-26
29.22,51.72,43.95,Black,Wheat,26,0,17,Urea
31.2,50.88,26.64,Red,Sugarcane,46,0,0,DAP
35.95,72.98,52.9,Clayey,Wheat,3,14,16,20-20
38.86,75.86,37.69,Clayey,Tobacco,6,2,35,14-35-14
35.31,77.47,46.4,Clayey,Sugarcane,6,11,29,28-28
30.59,56.57,30.01,Sandy,Oil seeds,4,7,31,28-28
26.12,58.73,50.26,Clayey,Wheat,7,8,35,28-28
25.49,50.89,63.63,Loamy,Tobacco,12,0,6,17-17-17
33.52,57.98,49.92,Black,Oil seeds,5,2,31,DAP
31.88,52.97,49.87,Black,Cotton,26,2,22,Urea
33.94,55.33,48.3,Clayey,Tobacco,17,4,14,Urea
27.97,47.65,45.75,Black,Paddy,8,2,39,14-35-14
29.43,65.58,51.3,Clayey,Maize,26,0,14,DAP
29.37,58.44,44.49,Black,Sugarcane,28,0,21,10-26-26
27.43,56.68,24.36,Clayey,Wheat,19,0,36,14-35-14
32.66,59.5,27.0,Black,Pulses,33,0,4,DAP
25.17,43.89,65.91,Black,Ground Nuts,33,2,0,Urea
27.51,55.86,41.39,Black,Barley,14,0,37,10-26-26
26.81,58.78,49.15,Clayey,Oil seeds,14,2,10,28-28
29.29,69.9,43.81,Black,Maize,28,0,21,Urea
32.07,63.03,39.38,Sandy,Maize,42,3,0,14-35-14
30.29,69.78,31.58,Black,Sugarcane,15,0,36,17-17-17
22.46,48.46,43.17,Clayey,Tobacco,17,0,23,17-17-17
24.89,41.79,54.45,Black,Ground Nuts,15,8,19,Urea
29.43,62.46,43.26,Black,Barley,0,8,30,28-28
40.0,76.58,43.4,Clayey,Pulses,16,14,19,20-20
33.82,63.87,30.01,Black,Wheat,12,1,35,Urea
36.91,75.0,34.75,Clayey,Wheat,8,4,38,28-28
29.11,66.22,57.05,Black,Sugarcane,15,15,14,28-28
37.61,71.93,31.01,Black,Oil seeds,8,2,33,DAP
23.97,42.57,33.9,Loamy,Ground Nuts,5,12,16,28-28
21.48,43.69,41.22,Sandy,Oil seeds,13,3,10,Urea
28.56,69.25,43.73,Red,Barley,34,0,3,20-20
24.78,56.42,25.51,Clayey,Sugarcane,14,13,10,17-17-17
28.78,60.98,46.86,Clayey,Millets,18,1,13,20-20
25.83,42.5,60.32,Clayey,Cotton,7,3,5,28-28
21.27,59.98,35.59,Red,Paddy,9,1,37,10-26-26
27.79,46.46,33.4,Black,Ground Nuts,13,0,38,10-26-26
36.34,67.59,43.01,Clayey,Oil seeds,40,0,0,DAP
26.57,52.98,56.7,Sandy,Tobacco,3,7,32,20-20
27.78,57.1,42.64,Black,Barley,10,0,37,28-28
26.99,44.73,51.9,Sandy,Oil seeds,6,0,18,17-17-17
29.83,64.29,45.68,Black,Sugarcane,16,0,13,20-20
23.56,56.69,37.04,Red,Pulses,7,0,3,10-26-26
31.85,62.5,31.51,Sandy,Ground Nuts,36,0,0,17-17-17
26.79,58.42,26.41,Sandy,Oil seeds,8,11,9,28-28
27.02,55.09,35.69,Red,Paddy,36,0,0,Urea
25.4,59.23,35.65,Clayey,Paddy,38,1,0,20-20
28.2,47.14,48.34,Black,Tobacco,37,0,0,17-17-17
34.32,61.36,44.53,Black,Maize,11,11,11,DAP
34.8,76.07,30.81,Red,Tobacco,7,0,38,28-28
33.52,65.3,40.12,Clayey,Ground Nuts,9,14,16,20-20
29.16,51.25,37.86,Red,Wheat,17,3,15,Urea
33.55,69.48,37.73,Clayey,Cotton,42,4,0,10-26-26
35.14,68.94,36.73,Sandy,Paddy,12,0,32,10-26-26
31.21,67.98,48.85,Black,Paddy,10,0,37,28-28
27.89,53.82,40.72,Black,Tobacco,14,0,45,Urea
39.78,72.13,29.77,Clayey,Maize,7,2,41,28-28
33.64,62.64,37.52,Red,Sugarcane,9,0,42,20-20
26.29,44.72,37.75,Clayey,Pulses,17,0,36,20-20
27.42,62.2,57.15,Sandy,Millets,38,0,4,14-35-14
32.51,53.53,45.88,Red,Tobacco,36,0,2,28-28
33.57,54.09,68.48,Black,Sugarcane,8,9,26,28-28
30.06,57.82,29.93,Sandy,Paddy,38,0,0,Urea
40.0,75.94,34.96,Red,Millets,12,2,10,28-28
21.36,46.46,35.37,Clayey,Cotton,23,1,21,DAP
30.85,62.03,23.42,Clayey,Cotton,4,10,26,14-35-14
32.9,63.12,47.43,Black,Barley,15,16,20,14-35-14
29.42,72.78,42.89,Clayey,Sugarcane,39,2,0,20-20
38.27,63.65,41.45,Clayey,Ground Nuts,12,4,35,28-28
25.08,61.53,34.32,Loamy,Tobacco,16,2,38,10-26-26
33.46,72.4,40.83,Red,Oil seeds,15,0,8,28-28
27.4,56.09,57.66,Clayey,Paddy,11,11,16,17-17-17
31.91,46.26,41.51,Black,Pulses,24,3,27,28-28
30.02,66.49,49.75,Loamy,Maize,10,0,13,17-17-17
26.05,51.23,34.11,Loamy,Maize,17,0,40,Urea
38.11,67.76,40.16,Loamy,Tobacco,12,0,45,14-35-14
25.82,44.33,29.18,Loamy,Tobacco,10,4,37,Urea
25.24,43.61,39.67,Loamy,Ground Nuts,2,22,14,14-35-14
36.49,65.48,39.34,Red,Oil seeds,14,0,32,10-26-26
23.39,59.65,40.74,Clayey,Paddy,16,0,14,10-26-26
29.61,70.12,42.17,Red,Barley,14,15,13,14-35-14
33.0,55.09,52.37,Black,Pulses,17,0,37,Urea
32.12,68.28,42.26,Red,Barley,8,17,20,14-35-14
33.34,73.86,48.0,Clayey,Ground Nuts,7,4,29,10-26-26
29.17,64.55,46.56,Sandy,Barley,23,1,20,10-26-26
24.82,45.77,51.47,Clayey,Cotton,23,2,24,17-17-17
27.19,46.21,27.99,Loamy,Sugarcane,28,0,16,14-35-14
34.5,63.22,50.73,Loamy,Ground Nuts,44,0,1,28-28
31.98,45.3,30.75,Loamy,Pulses,36,0,0,Urea
31.31,58.21,49.13,Clayey,Oil seeds,8,20,21,20-20
31.7,73.98,42.06,Loamy,Pulses,7,9,31,Urea
30.25,60.34,33.5,Sandy,Barley,27,1,28,20-20
38.47,55.14,50.1,Red,Ground Nuts,13,0,41,20-20
35.84,62.15,67.16,Sandy,Millets,3,9,26,28-28
26.29,62.82,38.28,Red,Barley,8,14,16,20-20
35.77,67.17,42.53,Black,Maize,13,1,32,10-26-26
27.14,68.62,46.27,Sandy,Wheat,9,0,39,DAP
32.99,70.55,34.22,Loamy,Paddy,23,0,20,14-35-14
33.14,50.64,55.05,Loamy,Maize,8,0,39,28-28
25.7,57.86,20.0,Loamy,Barley,10,0,38,DAP
27.27,42.2,47.49,Loamy,Wheat,10,16,18,17-17-17
25.65,55.02,37.37,Red,Tobacco,41,3,2,17-17-17
28.48,55.48,25.55,Loamy,Maize,23,0,23,10-26-26
26.12,60.43,58.13,Black,Cotton,11,0,11,17-17-17
22.99,44.67,30.17,Black,Paddy,18,0,16,17-17-17
35.57,70.66,40.03,Black,Wheat,42,0,0,10-26-26
25.78,57.76,65.12,Black,Tobacco,13,0,40,28-28
38.93,72.28,67.64,Red,Cotton,25,0,24,DAP
34.4,70.85,53.05,Black,Sugarcane,12,12,13,20-20
23.28,45.27,43.77,Sandy,Sugarcane,19,0,21,14-35-14
29.27,65.89,70.0,Sandy,Wheat,12,4,35,17-17-17
28.06,44.09,58.46,Red,Tobacco,10,10,16,10-26-26
29.55,60.62,45.99,Sandy,Barley,23,0,25,28-28
25.91,42.33,27.89,Loamy,Oil seeds,11,16,8,17-17-17
29.91,45.99,64.48,Sandy,Cotton,42,1,0,14-35-14
32.92,60.86,60.26,Clayey,Maize,37,1,0,DAP
36.6,61.48,20.0,Black,Cotton,9,9,27,28-28
35.3,76.77,44.61,Red,Tobacco,8,0,42,DAP
32.46,62.03,48.0,Red,Cotton,15,0,6,DAP
31.52,57.93,68.2,Clayey,Maize,12,4,26,20-20
28.54,55.75,38.08,Clayey,Sugarcane,25,4,18,10-26-26
26.33,58.16,43.91,Red,Barley,10,11,22,Urea
31.55,50.78,32.59,Loamy,Paddy,34,4,0,20-20
25.7,62.98,30.45,Sandy,Pulses,8,14,29,20-20
33.51,66.81,32.19,Loamy,Paddy,24,4,17,17-17-17
33.19,62.86,37.31,Red,Oil seeds,45,0,0,DAP
24.07,54.47,28.69,Loamy,Pulses,9,0,11,14-35-14
37.03,73.51,35.21,Loamy,Tobacco,11,3,36,DAP
29.52,56.55,31.92,Clayey,Cotton,5,11,33,20-20
20.55,42.03,63.54,Black,Barley,11,16,16,14-35-14
33.35,71.63,38.11,Loamy,Sugarcane,14,2,38,DAP
30.33,51.05,33.36,Clayey,Cotton,13,0,5,DAP
31.18,55.84,28.31,Clayey,Millets,43,4,2,28-28
37.84,66.91,57.7,Sandy,Oil seeds,45,0,0,Urea
32.56,68.67,23.64,Loamy,Tobacco,42,0,0,DAP
31.72,45.26,28.54,Clayey,Maize,35,0,2,17-17-17
31.1,45.98,25.78,Black,Ground Nuts,39,0,2,28-28
29.8,59.73,35.64,Red,Barley,9,0,11,Urea
33.62,63.24,36.1,Clayey,Tobacco,25,0,20,10-26-26
34.15,57.16,39.48,Sandy,Cotton,26,4,24,17-17-17
29.13,53.38,49.08,Red,Sugarcane,10,8,9,DAP
30.83,57.02,57.45,Loamy,Barley,33,0,0,10-26-26
29.14,61.8,44.63,Loamy,Tobacco,6,16,9,10-26-26
26.79,61.62,45.64,Sandy,Ground Nuts,6,14,17,20-20
21.49,46.99,40.82,Sandy,Cotton,3,20,17,17-17-17
35.36,56.86,36.82,Loamy,Millets,38,3,0,DAP
25.98,56.09,45.29,Sandy,Tobacco,27,1,21,Urea
25.86,45.62,35.68,Red,Barley,40,1,2,DAP
29.91,60.03,58.5,Clayey,Cotton,44,0,2,17-17-17
27.33,55.62,31.28,Clayey,Pulses,39,0,0,DAP
34.51,68.73,69.9,Loamy,Barley,14,12,11,14-35-14
32.14,71.89,41.21,Loamy,Pulses,9,9,17,14-35-14
34.01,63.87,51.24,Clayey,Wheat,19,3,20,DAP
30.01,59.57,35.04,Red,Ground Nuts,4,9,34,DAP
35.19,65.14,22.12,Black,Ground Nuts,6,2,28,10-26-26
28.81,54.94,41.6,Black,Barley,42,0,0,Urea
30.77,55.44,46.67,Clayey,Paddy,1,5,32,28-28
32.43,56.6,64.19,Red,Wheat,14,10,35,17-17-17
34.68,50.94,55.43,Black,Oil seeds,13,0,43,17-17-17
24.83,59.19,31.4,Clayey,Paddy,40,0,3,17-17-17
28.86,73.5,29.53,Black,Sugarcane,41,3,0,28-28
29.84,65.34,35.1,Sandy,Barley,5,0,9,14-35-14
38.76,56.94,56.53,Sandy,Cotton,5,0,14,14-35-14
35.24,66.47,51.44,Red,Cotton,6,7,30,17-17-17
34.51,58.28,63.85,Clayey,Millets,10,2,38,20-20
23.93,60.03,29.73,Black,Millets,12,2,10,DAP
28.0,58.95,32.66,Red,Pulses,19,0,33,17-17-17
25.02,45.57,38.91,Black,Tobacco,39,0,0,20-20
30.76,50.1,44.85,Clayey,Maize,31,2,4,Urea
30.4,52.84,59.57,Clayey,Maize,12,8,13,Urea
34.55,61.85,66.2,Clayey,Ground Nuts,9,15,10,Urea
23.54,47.71,27.92,Red,Barley,13,9,32,Urea
29.87,52.38,22.8,Black,Pulses,13,1,7,28-28
34.57,55.72,20.0,Loamy,Sugarcane,10,11,29,14-35-14
31.63,50.38,31.45,Clayey,Paddy,17,0,15,10-26-26
31.73,51.82,37.23,Sandy,Maize,38,1,3,DAP
25.36,62.76,62.32,Clayey,Barley,3,6,33,14-35-14
36.64,57.29,24.08,Black,Oil seeds,3,8,26,10-26-26
32.1,65.89,70.0,Clayey,Wheat,17,0,37,14-35-14
21.09,49.87,63.43,Red,Paddy,13,13,13,Urea
36.17,73.15,60.09,Black,Cotton,42,4,2,17-17-17
38.68,76.72,57.16,Red,Tobacco,43,1,0,DAP
29.0,70.73,43.4,Loamy,Oil seeds,17,19,13,Urea
31.23,66.32,27.49,Red,Wheat,40,0,3,14-35-14
31.19,71.44,46.39,Loamy,Maize,9,12,17,17-17-17
29.35,61.82,63.95,Sandy,Pulses,38,1,0,28-28
27.41,56.77,45.73,Clayey,Sugarcane,12,4,31,28-28
32.63,66.83,49.59,Red,Cotton,8,0,13,28-28
34.33,58.34,39.98,Sandy,Cotton,26,0,23,17-17-17
26.71,51.41,32.41,Clayey,Tobacco,8,8,26,14-35-14
30.66,66.4,52.44,Loamy,Pulses,40,0,0,28-28
27.45,57.24,34.3,Clayey,Oil seeds,43,0,2,28-28
30.59,56.93,49.01,Loamy,Cotton,14,4,11,10-26-26
29.75,47.56,33.26,Clayey,Cotton,10,0,38,28-28
35.61,68.63,70.0,Red,Sugarcane,25,0,15,28-28
31.43,54.96,40.98,Sandy,Paddy,15,0,5,14-35-14
31.37,74.91,34.64,Red,Ground Nuts,10,9,28,Urea
28.38,51.28,61.42,Sandy,Sugarcane,37,2,3,20-20
31.44,70.97,62.81,Clayey,Paddy,18,0,39,17-17-17
39.45,73.14,24.99,Sandy,Maize,12,2,40,Urea
24.78,50.29,39.4,Black,Millets,43,2,0,17-17-17
25.7,52.75,36.55,Red,Paddy,19,1,14,10-26-26
29.06,71.99,38.56,Sandy,Tobacco,8,14,18,DAP
26.27,55.47,33.28,Red,Wheat,13,1,38,28-28
33.49,63.84,32.92,Clayey,Ground Nuts,38,0,0,Urea
34.92,58.53,27.98,Clayey,Cotton,12,0,37,DAP
22.93,52.54,39.37,Sandy,Cotton,9,0,8,28-28
26.38,49.88,65.47,Black,Maize,32,1,1,17-17-17
34.28,68.8,43.11,Loamy,Cotton,9,7,23,14-35-14
35.49,70.58,34.23,Clayey,Maize,18,4,33,DAP
32.6,53.68,28.87,Clayey,Pulses,5,12,25,14-35-14
38.65,67.93,70.0,Loamy,Millets,10,1,40,28-28
39.15,68.25,46.6,Loamy,Sugarcane,42,0,1,17-17-17
32.15,57.42,26.8,Red,Wheat,14,21,20,DAP
32.8,61.46,58.5,Sandy,Wheat,7,9,29,14-35-14
39.01,65.01,46.91,Clayey,Pulses,43,4,0,28-28
32.04,64.28,62.11,Black,Barley,15,3,36,14-35-14
24.88,43.56,53.5,Sandy,Sugarcane,14,0,19,28-28
24.12,50.26,37.62,Loamy,Wheat,13,0,37,Urea
27.71,53.42,37.98,Black,Maize,41,0,3,20-20
32.91,64.18,51.89,Sandy,Paddy,17,0,37,Urea
37.05,69.22,44.58,Black,Sugarcane,11,20,20,17-17-17
30.03,65.12,38.84,Sandy,Millets,22,0,20,28-28
23.9,43.28,43.12,Clayey,Pulses,22,3,21,17-17-17
30.41,63.03,49.09,Clayey,Maize,6,8,30,10-26-26
29.86,50.94,70.0,Sandy,Sugarcane,12,0,32,28-28
37.46,61.25,31.69,Clayey,Tobacco,9,0,37,10-26-26
28.75,55.19,20.0,Loamy,Millets,3,4,34,17-17-17
24.86,58.35,61.89,Red,Wheat,14,0,38,17-17-17
27.63,58.09,46.23,Black,Paddy,22,3,20,DAP
29.59,65.88,21.2,Sandy,Sugarcane,40,2,1,20-20
28.41,61.99,31.54,Red,Maize,11,0,13,17-17-17
24.22,59.75,30.07,Black,Ground Nuts,16,3,42,20-20
37.05,66.11,38.47,Black,Pulses,4,5,28,DAP
28.28,67.72,55.83,Red,Tobacco,12,4,9,DAP
31.39,61.78,70.0,Red,Maize,14,15,12,10-26-26
28.51,55.93,40.33,Red,Cotton,17,0,27,20-20
29.88,64.22,20.0,Clayey,Oil seeds,7,7,32,14-35-14
25.28,50.64,66.87,Red,Pulses,10,0,11,14-35-14
36.27,74.55,57.03,Sandy,Cotton,11,2,35,Urea
29.28,55.6,41.79,Loamy,Paddy,0,11,27,20-20
40.0,72.78,38.48,Red,Pulses,7,10,32,Urea
25.08,45.08,31.07,Clayey,Sugarcane,5,23,14,14-35-14
29.35,67.05,31.67,Black,Cotton,24,3,19,DAP
28.86,59.22,44.4,Sandy,Tobacco,24,0,22,28-28
27.1,55.35,36.61,Black,Sugarcane,25,0,15,28-28
28.09,50.46,25.38,Sandy,Barley,18,1,36,Urea
28.96,54.32,35.97,Sandy,Barley,14,3,43,10-26-26
27.67,57.87,33.61,Clayey,Pulses,40,2,0,10-26-26
29.34,49.57,20.01,Loamy,Maize,9,18,19,17-17-17
28.57,50.93,44.78,Red,Maize,32,0,0,20-20
38.15,59.18,55.78,Clayey,Cotton,12,20,14,14-35-14
23.08,62.96,20.0,Sandy,Millets,4,14,25,14-35-14
37.11,70.83,56.74,Clayey,Cotton,3,8,30,DAP
36.28,71.99,35.88,Red,Tobacco,41,3,3,20-20
33.3,61.33,50.98,Black,Pulses,20,0,23,DAP
26.17,53.24,51.31,Black,Barley,27,0,20,DAP
34.55,58.92,68.9,Black,Wheat,10,0,36,14-35-14
34.69,78.28,43.78,Black,Pulses,15,0,39,DAP
29.02,67.93,55.54,Clayey,Pulses,16,4,8,DAP
28.19,60.08,28.35,Red,Tobacco,35,0,0,28-28
38.69,61.57,53.46,Black,Cotton,6,4,26,Urea
34.73,66.96,59.65,Clayey,Oil seeds,28,2,15,Urea
25.55,62.37,41.64,Loamy,Cotton,36,0,0,28-28
31.75,58.98,56.2,Clayey,Pulses,32,0,0,Urea
30.51,64.47,31.19,Sandy,Paddy,35,0,4,20-20
24.18,53.12,59.3,Clayey,Maize,8,3,5,10-26-26
30.65,47.72,37.49,Clayey,Maize,39,0,2,DAP
29.91,59.7,54.67,Clayey,Tobacco,9,0,40,28-28
34.12,63.6,27.97,Red,Maize,26,0,21,DAP
30.51,52.48,23.64,Clayey,Paddy,10,9,25,28-28
28.09,61.48,39.32,Black,Tobacco,39,0,0,28-28
24.12,53.65,35.22,Sandy,Ground Nuts,37,0,0,10-26-26
33.21,64.79,31.54,Clayey,Sugarcane,3,0,17,20-20
36.7,62.62,24.01,Red,Barley,42,0,0,17-17-17
34.03,55.38,49.19,Sandy,Cotton,5,0,17,10-26-26
24.49,51.98,67.62,Clayey,Sugarcane,34,0,0,14-35-14
29.92,57.58,44.49,Loamy,Ground Nuts,16,14,7,Urea
33.42,65.41,63.33,Black,Maize,15,0,38,14-35-14
29.32,57.18,70.0,Clayey,Ground Nuts,12,7,26,20-20
27.49,54.22,40.06,Clayey,Oil seeds,18,0,20,20-20
35.27,69.93,44.23,Sandy,Ground Nuts,38,0,3,20-20
34.35,67.37,55.82,Red,Cotton,3,5,30,14-35-14
27.52,62.28,31.71,Sandy,Pulses,23,0,18,14-35-14
33.94,62.1,56.9,Red,Ground Nuts,5,0,8,10-26-26
24.78,59.94,49.61,Clayey,Sugarcane,38,0,3,28-28
33.97,73.31,26.07,Sandy,Wheat,8,0,18,20-20
34.04,73.0,36.41,Clayey,Tobacco,6,23,23,20-20
29.03,51.28,59.83,Clayey,Millets,37,2,0,Urea
24.13,65.79,35.41,Red,Wheat,14,0,36,Urea
37.53,67.28,40.79,Clayey,Maize,27,0,23,14-35-14
27.94,59.27,46.39,Black,Cotton,33,1,0,10-26-26
26.2,66.49,58.35,Black,Tobacco,12,11,32,DAP
30.71,58.51,42.79,Sandy,Maize,38,0,4,28-28
37.97,62.65,56.53,Red,Ground Nuts,6,4,15,DAP
35.46,70.84,62.84,Black,Maize,9,0,38,20-20
30.08,61.49,52.42,Red,Oil seeds,5,0,6,10-26-26
33.82,61.25,59.51,Black,Cotton,15,13,14,28-28
29.05,54.64,49.53,Clayey,Paddy,11,0,6,10-26-26
40.0,72.25,45.19,Clayey,Millets,16,0,36,DAP
22.51,50.31,30.59,Clayey,Maize,17,12,10,DAP
32.06,78.41,36.96,Loamy,Wheat,9,0,44,10-26-26
39.91,60.35,29.4,Loamy,Oil seeds,10,3,26,14-35-14
32.83,59.11,29.94,Clayey,Tobacco,10,0,42,17-17-17
28.99,56.86,47.2,Red,Sugarcane,19,0,22,DAP
31.08,73.05,43.81,Black,Tobacco,4,6,33,14-35-14
36.75,71.25,31.9,Sandy,Paddy,10,3,38,17-17-17
29.59,64.77,26.04,Red,Paddy,40,0,0,17-17-17
29.95,61.65,70.0,Loamy,Sugarcane,9,5,31,20-20
28.74,51.47,58.63,Clayey,Maize,9,11,35,28-28
37.6,71.43,54.12,Clayey,Ground Nuts,34,2,3,20-20
38.31,77.54,38.22,Black,Wheat,12,0,41,14-35-14
33.09,65.12,37.71,Red,Pulses,19,0,24,20-20
36.17,64.23,54.97,Loamy,Oil seeds,33,0,4,14-35-14
40.0,58.41,25.99,Clayey,Sugarcane,16,0,16,DAP
23.4,62.09,20.0,Clayey,Millets,9,3,38,20-20
22.76,48.08,34.55,Loamy,Maize,37,4,0,Urea
23.01,46.97,52.66,Sandy,Maize,8,1,11,14-35-14
36.87,74.71,25.27,Sandy,Barley,12,0,34,17-17-17
26.86,50.54,67.65,Loamy,Pulses,8,0,8,DAP
30.79,62.82,29.74,Black,Barley,12,0,14,14-35-14
37.88,56.28,34.78,Sandy,Pulses,14,0,41,DAP
33.59,73.86,52.09,Sandy,Oil seeds,24,0,19,17-17-17
24.23,40.87,63.97,Black,Oil seeds,14,8,13,20-20
29.22,68.58,68.54,Clayey,Pulses,5,12,28,10-26-26
34.83,74.84,38.55,Clayey,Barley,13,1,36,14-35-14
40.0,72.53,69.09,Loamy,Barley,19,0,44,10-26-26
32.53,66.27,24.96,Red,Sugarcane,24,0,22,14-35-14
34.05,57.39,35.01,Loamy,Millets,5,3,33,20-20
33.84,78.28,54.01,Sandy,Ground Nuts,10,8,31,Urea
26.13,59.47,53.78,Black,Paddy,6,0,6,Urea
32.31,65.98,51.84,Red,Wheat,10,11,8,28-28
27.78,63.49,36.53,Red,Maize,19,0,13,10-26-26
30.03,59.76,24.55,Sandy,Barley,40,0,0,Urea
32.22,56.23,20.0,Red,Oil seeds,8,6,28,Urea
29.46,59.59,27.28,Sandy,Oil seeds,23,3,18,17-17-17
28.6,61.06,46.54,Black,Ground Nuts,1,20,15,Urea
36.31,72.79,46.6,Sandy,Barley,22,0,20,DAP
25.53,60.96,23.48,Black,Pulses,32,0,0,14-35-14
32.69,55.03,46.23,Black,Cotton,26,0,14,28-28
30.11,57.34,25.96,Loamy,Pulses,44,0,0,10-26-26
27.71,61.57,28.73,Loamy,Sugarcane,14,18,12,17-17-17
32.34,57.71,24.9,Loamy,Maize,6,11,33,DAP
38.2,60.72,31.82,Sandy,Tobacco,11,3,39,28-28
38.64,77.51,43.0,Sandy,Barley,40,4,0,DAP
27.61,69.47,34.64,Black,Maize,6,0,8,Urea
29.73,65.44,62.54,Sandy,Paddy,9,10,25,17-17-17
24.65,57.12,52.24,Loamy,Oil seeds,9,3,36,DAP
24.61,59.11,55.45,Clayey,Oil seeds,7,0,6,DAP
27.55,50.87,37.69,Loamy,Wheat,24,0,21,14-35-14
27.77,68.01,52.99,Black,Cotton,16,0,30,Urea
31.08,59.06,47.05,Sandy,Tobacco,39,0,1,14-35-14
27.26,62.16,33.59,Black,Barley,11,8,25,28-28
24.69,55.52,22.39,Clayey,Ground Nuts,13,1,44,14-35-14
33.35,65.13,26.44,Clayey,Wheat,37,0,0,14-35-14
33.4,49.71,50.01,Clayey,Sugarcane,25,4,20,20-20
32.29,62.66,37.32,Clayey,Barley,2,8,32,Urea
23.48,58.98,66.26,Clayey,Oil seeds,32,0,0,Urea
35.91,64.54,51.18,Clayey,Tobacco,38,0,0,Urea
23.18,59.48,46.95,Sandy,Sugarcane,22,0,23,Urea
37.6,61.35,36.62,Red,Barley,35,1,0,14-35-14
34.08,67.3,66.45,Black,Wheat,5,6,32,Urea
38.16,64.57,44.12,Sandy,Cotton,6,5,27,10-26-26
34.31,75.92,40.55,Clayey,Cotton,8,10,27,20-20
28.13,62.39,53.4,Loamy,Cotton,15,0,8,14-35-14
25.04,66.1,46.92,Clayey,Pulses,4,13,25,17-17-17
35.22,56.07,66.76,Red,Tobacco,25,1,19,Urea
33.39,58.29,46.97,Black,Wheat,12,4,5,Urea
31.97,56.43,38.33,Red,Ground Nuts,20,0,25,DAP
29.39,52.92,44.26,Red,Sugarcane,14,0,11,10-26-26
28.22,63.09,31.79,Loamy,Oil seeds,41,1,4,10-26-26
28.99,57.8,41.7,Black,Wheat,33,0,1,DAP
31.7,60.31,42.96,Loamy,Barley,17,0,22,20-20
28.82,62.02,40.63,Clayey,Maize,11,9,29,14-35-14
31.71,52.75,30.13,Clayey,Oil seeds,11,12,13,14-35-14
27.04,53.79,60.68,Black,Millets,10,12,31,DAP
28.31,66.5,29.81,Clayey,Millets,18,0,27,20-20
27.83,55.13,30.2,Loamy,Wheat,27,2,19,14-35-14
30.04,58.87,38.82,Clayey,Paddy,2,17,12,28-28
35.85,70.43,52.65,Black,Wheat,6,0,15,20-20
32.69,55.16,54.36,Red,Paddy,38,0,4,28-28
25.42,55.67,20.0,Loamy,Tobacco,8,0,41,Urea
36.08,58.63,55.26,Black,Cotton,19,0,37,10-26-26
32.87,55.38,34.81,Loamy,Maize,38,0,2,20-20
33.54,64.83,36.55,Clayey,Barley,6,7,31,10-26-26
24.47,48.83,63.87,Clayey,Pulses,9,0,9,Urea
30.37,59.55,46.99,Sandy,Cotton,18,0,24,DAP
34.67,56.47,33.94,Black,Cotton,20,0,22,14-35-14
30.85,62.67,70.0,Loamy,Maize,37,3,4,28-28
30.26,51.93,67.2,Sandy,Tobacco,15,0,42,Urea
31.2,58.13,55.28,Clayey,Maize,1,19,12,20-20
30.08,70.01,35.0,Clayey,Sugarcane,22,0,17,20-20
30.41,57.18,58.29,Red,Paddy,7,5,27,28-28
29.58,55.83,32.4,Sandy,Sugarcane,45,1,2,17-17-17
24.66,51.66,45.41,Black,Wheat,25,0,25,14-35-14
33.91,67.92,38.66,Black,Oil seeds,9,0,7,17-17-17
26.95,47.7,20.39,Clayey,Ground Nuts,10,3,13,17-17-17
26.25,56.03,69.41,Sandy,Sugarcane,7,7,16,10-26-26
26.88,54.41,28.3,Clayey,Maize,24,0,15,10-26-26
38.72,72.63,44.83,Black,Paddy,37,4,0,14-35-14
29.2,55.04,68.65,Loamy,Millets,2,9,33,20-20
24.84,54.15,44.72,Clayey,Maize,37,3,4,10-26-26
31.87,61.74,41.71,Sandy,Sugarcane,8,1,10,Urea
33.22,55.48,63.02,Red,Tobacco,7,6,34,28-28
33.82,72.77,45.9,Sandy,Paddy,17,0,12,17-17-17
40.0,66.66,43.95,Black,Millets,39,0,0,28-28
23.32,51.38,36.32,Clayey,Paddy,11,0,40,20-20
35.87,59.89,50.2,Clayey,Pulses,1,16,19,14-35-14
35.78,74.8,29.82,Black,Ground Nuts,8,4,13,28-28
28.48,54.42,23.99,Red,Maize,8,4,27,20-20
26.58,48.73,49.63,Loamy,Tobacco,25,1,24,DAP
26.2,54.23,41.59,Red,Oil seeds,0,14,14,20-20
33.25,59.02,58.34,Black,Tobacco,14,0,31,14-35-14
32.1,66.19,31.38,Clayey,Paddy,44,0,0,28-28
